index,degree,cohort,gender,school,test,total_cfu,total_cfu_g,avg_g,math_course_g,math_course_d,mat_class
374,CdS4,2013,M,IT,6.0,39,36,22,18,2015-06-18,yes
375,CdS4,2015,M,LS,17.0,39,36,22,18,2016-06-20,yes
376,CdS4,2012,M,LS,9.0,3,0,0,0,0000-00-00,no
377,CdS3,2014,F,LS,14.0,9,6,27,0,0000-00-00,no
378,CdS3,2010,M,LS,21.0,20,18,30,24,2013-07-02,yes
379,CdS3,2012,M,LS,11.0,6,6,22,0,0000-00-00,no
380,CdS4,2014,F,LS,16.0,63,60,27,26,2015-01-15,yes
381,CdS3,2012,F,LC,10.0,24,21,29,30,2014-07-10,yes
382,CdS4,2013,M,LS,17.0,24,24,21,18,2014-02-06,yes
383,CdS3,2016,F,TC,2.25,45,42,23,18,2017-06-27,yes
384,CdS4,2015,F,LC,10.0,39,36,20,18,2016-02-24,yes
385,CdS3,2011,M,AL,9.0,12,12,24,20,2015-01-15,yes
386,CdS3,2014,F,IT,5.0,6,6,26,0,0000-00-00,no
387,CdS3,2012,M,AL,14.0,39,36,22,22,2013-02-07,yes
388,CdS4,2012,M,IT,13.0,51,48,26,18,2013-01-15,yes
389,CdS4,2014,M,LS,21.0,51,48,26,24,2015-01-15,yes
390,CdS4,2012,M,IT,10.0,15,12,23,0,0000-00-00,no
391,CdS3,2014,F,LS,9.0,12,12,26,0,0000-00-00,no
392,CdS3,2016,F,LC,4.5,42,42,27,20,2017-06-13,yes
393,CdS4,2012,M,IT,12.0,39,36,25,24,2013-02-28,yes
394,CdS3,2013,F,AL,7.0,51,48,25,19,2014-07-10,yes
395,CdS4,2014,M,TC,11.0,51,48,24,20,2015-02-05,yes
396,CdS4,2015,M,IT,15.0,24,24,25,0,0000-00-00,no
397,CdS4,2013,M,LS,10.0,27,24,25,0,0000-00-00,no
398,CdS3,2016,F,LC,-0.25,9,6,26,0,0000-00-00,no
399,CdS3,2015,M,TC,16.0,42,42,24,18,2016-06-29,yes
400,CdS3,2015,F,TC,12.0,6,6,30,0,0000-00-00,no
401,CdS3,2011,M,LS,11.0,15,15,31,23,2014-07-10,yes
402,CdS4,2011,M,IP,11.0,15,12,25,20,2014-02-06,yes
403,CdS3,2012,M,IT,12.0,15,15,20,0,0000-00-00,no
404,CdS4,2016,M,AL,2.25,12,12,25,0,0000-00-00,no
405,CdS4,2010,M,IT,17.0,33,30,25,0,0000-00-00,no
406,CdS4,2012,F,IP,9.0,27,24,24,18,2016-06-20,yes
407,CdS4,2014,M,TC,6.0,27,24,20,18,2016-07-11,yes
408,CdS3,2011,F,AL,9.0,2,0,0,0,0000-00-00,no
409,CdS3,2015,M,LS,20.0,24,24,25,27,2016-06-14,yes
410,CdS4,2013,F,LS,11.0,27,24,23,18,2014-06-17,yes
411,CdS3,2012,M,IT,9.0,9,9,24,0,0000-00-00,no
412,CdS4,2011,F,LS,11.0,24,24,25,18,2015-02-26,yes
413,CdS3,2011,F,LS,9.0,42,42,27,21,2014-09-17,yes
414,CdS4,2012,M,IT,5.0,36,36,23,22,2014-07-10,yes
415,CdS3,2011,F,AL,10.0,8,6,28,0,0000-00-00,no
416,CdS3,2013,M,LS,12.0,15,12,30,0,0000-00-00,no
417,CdS4,2016,M,IT,10.5,63,60,25,20,2017-01-19,yes
418,CdS3,2015,M,TC,10.0,36,33,24,18,2016-07-28,yes
419,CdS3,2014,F,IT,13.0,6,6,27,0,0000-00-00,no
420,CdS3,2016,F,LS,5.0,3,0,0,0,0000-00-00,no
421,CdS4,2011,M,IT,9.0,3,0,0,0,0000-00-00,no
422,CdS3,2015,F,LS,15.0,36,33,26,19,2016-06-14,yes
423,CdS3,2012,F,LS,10.0,3,0,0,0,0000-00-00,no
424,CdS4,2014,M,LS,18.0,63,60,27,28,2015-01-15,yes
425,CdS4,2016,M,LS,3.75,48,48,21,18,2017-02-02,yes
426,CdS3,2015,F,IP,2.0,24,21,25,0,0000-00-00,no
427,CdS3,2012,M,AL,16.0,6,6,22,0,0000-00-00,no
428,CdS3,2012,M,IT,14.0,18,18,25,18,2015-02-26,yes
429,CdS3,2016,F,LL,5.0,36,36,30,28,2017-06-13,yes
430,CdS4,2016,F,LS,-1.25,27,24,26,0,0000-00-00,no
431,CdS3,2012,F,AL,16.0,12,12,18,0,0000-00-00,no
432,CdS4,2015,M,IT,17.0,51,48,25,0,0000-00-00,no
433,CdS3,2015,M,IA,8.0,6,6,22,0,0000-00-00,no
434,CdS3,2011,F,TC,12.0,9,6,25,18,2014-07-10,yes
435,CdS4,2016,M,LS,8.5,36,36,22,18,2017-01-19,yes
436,CdS3,2011,M,LS,10.0,12,12,22,0,0000-00-00,no
437,CdS3,2016,M,TC,5.0,9,6,30,0,0000-00-00,no
438,CdS3,2010,M,LS,16.0,35,33,23,21,2011-07-06,yes
439,CdS3,2014,M,IT,14.0,15,15,24,0,0000-00-00,no
440,CdS4,2012,M,IT,8.0,15,12,21,0,0000-00-00,no
441,CdS3,2011,F,LS,9.0,36,36,26,18,2013-01-15,yes
442,CdS4,2013,M,IT,12.0,39,36,24,22,2014-02-06,yes
443,CdS3,2012,M,LS,12.0,24,21,25,21,2016-07-13,yes
444,CdS3,2013,F,AL,7.0,12,12,18,0,0000-00-00,no
445,CdS4,2013,M,IT,18.0,24,24,23,0,0000-00-00,no
446,CdS4,2012,M,IT,7.0,12,12,24,0,0000-00-00,no
447,CdS4,2013,F,LS,12.0,3,0,0,0,0000-00-00,no
448,CdS3,2016,M,LS,4.25,9,9,27,0,0000-00-00,no
449,CdS3,2012,M,LS,14.0,27,27,27,0,0000-00-00,no
450,CdS4,2010,M,LS,18.0,48,48,25,21,2011-03-04,yes
451,CdS4,2013,F,LS,14.0,48,48,24,25,2014-02-27,yes
452,CdS4,2010,M,IT,15.0,57,57,26,22,2011-03-04,yes
453,CdS4,2013,M,LS,20.0,51,48,25,24,2014-02-27,yes
454,CdS3,2012,F,LS,13.0,12,12,31,0,0000-00-00,no
455,CdS3,2012,F,AL,12.0,24,24,29,24,2014-09-17,yes
456,CdS3,2016,F,LS,7.75,48,45,25,22,2017-06-13,yes
457,CdS4,2010,F,LS,19.0,33,30,26,23,2014-02-27,yes
458,CdS3,2011,M,LS,14.0,27,24,26,23,2012-09-14,yes
459,CdS3,2014,F,TC,5.0,6,6,25,0,0000-00-00,no
460,CdS4,2016,F,LS,-1.5,24,24,22,0,0000-00-00,no
461,CdS3,2015,M,IT,5.0,6,6,27,0,0000-00-00,no
462,CdS4,2010,F,LS,19.0,42,39,24,18,2011-03-04,yes
463,CdS3,2016,M,LS,1.5,21,21,22,0,0000-00-00,no
464,CdS3,2012,F,LS,10.0,12,12,29,24,2014-09-17,yes
465,CdS3,2015,M,IT,19.0,24,24,27,27,2016-06-14,yes
466,CdS4,2014,M,LS,8.0,12,12,20,0,0000-00-00,no
467,CdS3,2015,F,LL,6.0,6,6,30,0,0000-00-00,no
468,CdS3,2015,F,LS,5.0,9,6,25,0,0000-00-00,no
469,CdS3,2013,M,AL,14.0,45,42,28,18,2016-06-29,yes
470,CdS3,2016,F,LS,8.5,30,27,26,23,2017-06-27,yes
471,CdS3,2016,M,LS,5.5,18,18,24,23,2017-06-27,yes
472,CdS4,2010,M,IT,15.0,51,48,27,19,2016-02-24,yes
473,CdS3,2015,F,LC,8.0,33,33,24,18,2016-07-13,yes
474,CdS3,2015,M,LS,13.0,15,15,23,0,0000-00-00,no
475,CdS3,2015,F,AL,9.0,33,30,26,0,0000-00-00,no
476,CdS4,2015,M,IT,8.0,24,24,24,19,2017-01-19,yes
477,CdS3,2016,F,LS,4.5,54,54,24,18,2017-06-13,yes
478,CdS3,2015,M,IT,12.0,3,0,0,0,0000-00-00,no
479,CdS4,2016,F,LC,4.75,27,24,27,0,0000-00-00,no
480,CdS3,2012,M,AL,7.0,12,12,27,18,2015-01-15,yes
481,CdS3,2013,F,AL,16.0,24,21,27,0,0000-00-00,no
482,CdS4,2010,M,LS,12.0,51,48,25,25,2014-02-06,yes
483,CdS3,2011,M,LC,5.0,6,6,21,0,0000-00-00,no
484,CdS3,2015,F,LS,16.0,48,45,27,24,2016-06-14,yes
485,CdS3,2010,F,IA,15.0,21,21,27,0,0000-00-00,no
486,CdS4,2013,M,IT,11.0,12,12,22,0,0000-00-00,no
487,CdS3,2011,F,LC,7.0,18,15,30,18,2014-07-10,yes
488,CdS3,2012,M,LS,18.0,6,6,29,0,0000-00-00,no
489,CdS3,2014,F,TC,8.0,6,6,22,0,0000-00-00,no
490,CdS4,2010,F,LC,11.0,42,39,28,26,2013-01-15,yes
491,CdS4,2011,F,LS,14.0,3,0,0,0,0000-00-00,no
492,CdS3,2014,M,LS,17.0,6,6,26,0,0000-00-00,no
493,CdS4,2013,M,LS,15.0,39,36,27,28,2014-02-27,yes
494,CdS4,2014,M,IT,12.0,39,36,24,22,2015-02-26,yes
495,CdS4,2016,M,IT,8.25,39,36,23,19,2017-02-23,yes
496,CdS3,2016,F,AL,0.0,3,0,0,0,0000-00-00,no
497,CdS4,2012,F,AL,8.0,3,0,0,0,0000-00-00,no
498,CdS3,2014,F,LL,16.0,36,33,26,0,0000-00-00,no
499,CdS3,2015,F,LS,15.0,18,18,26,25,2016-06-14,yes
500,CdS4,2016,M,IT,-0.75,27,24,26,0,0000-00-00,no
501,CdS3,2016,M,IA,10.25,33,30,27,0,0000-00-00,no
502,CdS4,2011,M,LS,12.0,27,24,22,21,2015-02-26,yes
503,CdS4,2011,M,TC,8.0,15,12,26,18,2016-06-20,yes
504,CdS3,2013,M,LS,13.0,39,36,23,19,2014-02-27,yes
505,CdS4,2013,F,LS,11.0,39,36,22,18,2014-02-27,yes
506,CdS4,2014,M,LS,12.0,36,36,20,18,2015-02-26,yes
507,CdS3,2014,F,AL,6.0,9,9,26,0,0000-00-00,no
508,CdS3,2015,M,LS,17.0,45,42,26,26,2016-06-14,yes
509,CdS3,2016,F,LS,7.0,48,45,26,26,2017-06-27,yes
510,CdS4,2015,F,IT,8.0,24,24,24,0,0000-00-00,no
511,CdS3,2015,F,LC,11.0,12,12,21,0,0000-00-00,no
512,CdS4,2010,M,IT,15.0,42,39,25,21,2014-02-06,yes
513,CdS4,2013,M,LS,21.0,39,36,23,19,2014-07-10,yes
514,CdS4,2010,M,IP,15.0,15,12,22,0,0000-00-00,no
515,CdS4,2011,M,LC,11.0,24,24,24,18,2015-02-26,yes
516,CdS3,2013,M,LS,16.0,30,27,24,22,2014-09-17,yes
517,CdS3,2015,M,LS,21.0,15,12,20,20,2016-06-14,yes
518,CdS3,2011,M,LS,13.0,30,27,20,19,2012-01-18,yes
519,CdS3,2015,F,AL,10.0,18,15,22,0,0000-00-00,no
520,CdS3,2014,M,LS,16.0,21,21,29,0,0000-00-00,no
521,CdS4,2011,M,LS,5.0,3,0,0,18,2015-06-18,yes
522,CdS3,2012,F,AL,7.0,6,6,26,0,0000-00-00,no
523,CdS4,2013,M,LS,13.0,27,24,28,22,2017-02-02,yes
524,CdS4,2012,M,LS,11.0,24,24,21,18,2013-02-28,yes
525,CdS4,2011,M,AL,8.0,12,12,25,0,0000-00-00,no
526,CdS4,2012,M,LS,21.0,51,48,24,18,2013-01-15,yes
527,CdS3,2014,M,TC,14.0,12,12,29,0,0000-00-00,no
528,CdS3,2016,F,LS,1.25,24,24,26,24,2017-06-27,yes
529,CdS4,2013,M,LS,12.0,39,36,24,25,2014-02-27,yes
530,CdS4,2015,M,IT,11.0,48,48,25,20,2016-01-19,yes
531,CdS3,2015,M,IT,6.0,21,18,27,0,0000-00-00,no
