index,degree,cohort,gender,school,test,total_cfu,total_cfu_g,avg_g,math_course_g,math_course_d,mat_class
86,CdS4,2011,M,LS,16.0,39,36,23,19,2012-02-10,yes
87,CdS3,2015,M,LS,19.0,18,15,26,21,2017-02-15,yes
88,CdS3,2011,M,LS,16.0,18,18,23,21,2012-02-10,yes
89,CdS4,2014,F,IA,14.0,51,48,24,18,2015-02-05,yes
90,CdS4,2012,M,AL,6.0,3,0,0,0,0000-00-00,no
91,CdS3,2011,F,AL,0.0,6,6,23,0,0000-00-00,no
92,CdS3,2013,M,LC,22.0,15,15,28,0,0000-00-00,no
93,CdS3,2013,M,LS,15.0,12,12,28,0,0000-00-00,no
94,CdS4,2016,F,LL,7.25,63,60,25,20,2017-02-02,yes
95,CdS4,2014,M,TC,13.0,24,24,27,0,0000-00-00,no
96,CdS4,2014,M,IT,18.0,51,48,22,18,2015-02-26,yes
97,CdS3,2014,F,LS,16.0,6,6,26,0,0000-00-00,no
98,CdS3,2011,F,LS,8.0,6,6,28,0,0000-00-00,no
99,CdS3,2012,F,AL,10.0,12,12,28,30,2015-06-18,yes
100,CdS3,2014,F,AL,6.0,9,6,22,0,0000-00-00,no
101,CdS3,2012,M,LS,12.0,6,6,30,0,0000-00-00,no
102,CdS3,2014,F,AL,6.0,6,6,23,0,0000-00-00,no
103,CdS4,2013,M,LS,14.0,60,60,25,26,2014-02-06,yes
104,CdS3,2013,M,LS,14.0,12,12,27,0,0000-00-00,no
105,CdS4,2012,M,LS,15.0,39,36,24,0,0000-00-00,no
106,CdS4,2014,F,AL,6.0,39,36,23,20,2016-02-08,yes
107,CdS4,2015,M,LS,18.0,48,48,25,0,0000-00-00,no
108,CdS3,2015,M,LS,11.0,24,21,23,0,0000-00-00,no
109,CdS4,2011,M,IT,6.0,12,12,27,0,0000-00-00,no
110,CdS4,2011,M,LS,11.0,3,0,0,0,0000-00-00,no
111,CdS4,2013,M,AL,8.0,12,12,24,0,0000-00-00,no
112,CdS3,2015,M,LS,18.0,48,45,26,27,2016-06-14,yes
113,CdS3,2014,M,LC,18.0,42,39,27,24,2015-06-09,yes
114,CdS3,2014,F,LS,14.0,9,6,24,24,2016-06-14,yes
115,CdS3,2013,F,AL,5.0,6,6,28,0,0000-00-00,no
116,CdS3,2016,F,AL,3.75,24,24,25,23,2017-06-27,yes
117,CdS3,2016,M,LS,2.75,15,12,24,0,0000-00-00,no
118,CdS3,2011,F,AL,8.0,12,12,18,0,0000-00-00,no
119,CdS4,2012,M,LS,10.0,27,24,21,20,2013-02-07,yes
120,CdS4,2012,M,AL,10.0,27,24,25,0,0000-00-00,no
121,CdS3,2016,F,AL,1.75,12,12,30,0,0000-00-00,no
122,CdS3,2013,M,LS,19.0,42,39,23,18,2014-06-17,yes
123,CdS3,2016,F,IT,6.25,9,6,26,0,0000-00-00,no
124,CdS4,2016,F,LL,5.5,27,24,28,0,0000-00-00,no
125,CdS3,2015,M,AL,13.0,33,33,24,18,2016-07-13,yes
126,CdS3,2015,F,IT,9.0,36,33,22,18,2016-07-13,yes
127,CdS4,2014,F,LS,18.0,27,24,29,0,0000-00-00,no
128,CdS4,2010,M,LS,11.0,3,0,0,0,0000-00-00,no
129,CdS3,2014,F,LS,15.0,9,9,21,0,0000-00-00,no
130,CdS4,2012,F,AL,8.0,36,36,24,19,2016-07-11,yes
131,CdS3,2016,F,LL,0.0,18,15,25,0,0000-00-00,no
132,CdS3,2010,F,LS,16.0,18,18,27,0,0000-00-00,no
133,CdS3,2012,M,IT,12.0,3,0,0,0,0000-00-00,no
134,CdS3,2016,F,LS,6.0,27,24,27,23,2017-06-27,yes
135,CdS3,2011,F,LS,14.0,6,6,31,0,0000-00-00,no
136,CdS3,2016,M,LS,7.25,57,54,25,20,2017-06-13,yes
137,CdS4,2014,F,LS,12.0,51,48,26,18,2015-01-15,yes
138,CdS3,2010,F,AL,10.0,6,6,27,0,0000-00-00,no
139,CdS4,2014,F,AL,7.0,24,24,18,0,0000-00-00,no
140,CdS4,2015,M,LS,19.0,36,36,23,18,2016-09-06,yes
141,CdS3,2014,M,IP,8.0,12,12,27,0,0000-00-00,no
142,CdS4,2011,F,IT,9.0,15,12,26,0,0000-00-00,no
143,CdS3,2013,M,IT,17.0,18,15,26,24,2016-07-19,yes
144,CdS4,2014,M,IT,12.0,51,48,23,18,2015-02-26,yes
145,CdS4,2011,M,TC,13.0,27,24,26,18,2016-01-19,yes
146,CdS4,2010,M,IA,9.0,33,30,25,20,2016-01-19,yes
147,CdS4,2015,M,LS,15.0,39,36,23,0,0000-00-00,no
148,CdS4,2011,M,IT,14.0,12,12,24,0,0000-00-00,no
149,CdS4,2014,F,IT,13.0,12,12,23,0,0000-00-00,no
150,CdS3,2015,M,LS,19.0,45,42,24,24,2016-06-14,yes
151,CdS3,2011,M,IP,6.0,3,0,0,19,2014-07-10,yes
152,CdS4,2010,M,IT,20.0,33,30,26,23,2014-02-06,yes
153,CdS3,2015,M,LS,19.0,30,27,26,26,2016-06-14,yes
154,CdS3,2014,M,IP,3.0,21,18,20,0,0000-00-00,no
155,CdS3,2010,M,LS,10.0,14,12,27,0,0000-00-00,no
156,CdS3,2013,F,LS,20.0,33,33,27,27,2014-02-06,yes
157,CdS3,2012,F,LS,7.0,18,18,19,0,0000-00-00,no
158,CdS3,2011,M,LS,11.0,27,24,24,20,2014-02-27,yes
159,CdS4,2012,F,LS,8.0,48,48,23,18,2013-01-15,yes
160,CdS4,2016,F,AL,2.0,27,24,22,0,0000-00-00,no
161,CdS3,2014,M,AL,11.0,3,0,0,0,0000-00-00,no
162,CdS3,2013,M,AL,21.0,24,24,28,28,2014-02-06,yes
163,CdS4,2011,M,LS,11.0,3,0,0,0,0000-00-00,no
164,CdS4,2016,F,AL,0.75,24,24,24,0,0000-00-00,no
165,CdS3,2016,F,LS,12.5,36,33,26,24,2017-06-27,yes
166,CdS4,2015,F,LS,14.0,51,48,26,0,0000-00-00,no
167,CdS4,2012,M,LS,7.0,12,12,27,0,0000-00-00,no
168,CdS3,2013,M,AL,7.0,6,6,25,0,0000-00-00,no
169,CdS3,2016,F,LS,9.5,48,45,26,24,2017-06-13,yes
