@relation dataset_shuffled-weka.filters.unsupervised.attribute.Remove-R1

@attribute degree {CdS4,CdS3}
@attribute cohort numeric
@attribute gender {M,F}
@attribute school {LS,TC,LC,AL,IT,IP,IA,LL}
@attribute test numeric
@attribute total_cfu numeric
@attribute total_cfu_g numeric
@attribute avg_g numeric
@attribute math_course_g numeric
@attribute math_course_d {2017-02-23,0000-00-00,2016-09-20,2012-02-10,2014-09-17,2017-02-02,2016-02-24,2013-02-07,2015-06-18,2011-07-06,2013-07-02,2017-07-13,2017-06-27,2015-01-15,2016-07-11,2015-02-05,2017-01-18,2018-02-22,2014-02-27,2012-09-14,2014-01-16,2017-06-13,2013-02-28,2011-09-23,2013-01-15,2016-07-13,2014-02-06,2017-01-19,2014-07-10,2016-06-14,2016-06-20,2015-02-26,2011-03-04,2016-01-19,2016-07-28,2016-06-29,2015-09-17,2015-07-15,2011-02-25,2015-01-14,2017-02-15,2013-06-18,2015-06-09,2016-09-06,2016-07-19,2016-02-08,2015-02-10,2012-01-18,2014-06-17,2012-06-11,2011-06-23,2017-09-13,2015-07-23,2011-07-11}

@data
CdS4,2016,M,LS,8.25,36,36,20,18,2017-02-23
CdS4,2016,M,IT,8.25,39,36,23,19,2017-02-23
CdS3,2012,F,LC,9,12,12,25,0,0000-00-00
CdS3,2010,F,LC,8,24,24,28,0,0000-00-00
CdS3,2015,M,LS,17,45,42,26,26,2016-06-14
CdS3,2015,F,LS,15,48,45,28,27,2016-06-14
CdS4,2015,M,LS,12,51,48,23,0,0000-00-00
CdS4,2013,F,LS,22,51,48,30,31,2014-02-06
CdS3,2015,F,LS,16,48,45,27,24,2016-06-14
CdS3,2012,M,LS,22,6,6,30,0,0000-00-00
CdS4,2011,M,IT,14,12,12,24,0,0000-00-00
CdS3,2014,M,LS,17,6,6,26,0,0000-00-00
CdS3,2015,M,LL,11,36,33,24,21,2016-06-14
CdS3,2011,F,AL,9,2,0,0,0,0000-00-00
CdS4,2011,M,LC,9,24,24,25,24,2015-06-18
CdS4,2015,M,LS,15,63,60,24,22,2016-06-20
CdS4,2014,M,AL,9,27,24,24,24,2015-02-26
CdS3,2012,F,LS,15,33,33,24,28,2014-09-17
CdS3,2016,F,AL,3.75,9,6,31,0,0000-00-00
CdS3,2011,F,LS,14,9,6,29,0,0000-00-00
CdS4,2011,F,LS,9,3,0,0,0,0000-00-00
CdS3,2015,M,LS,18,30,30,23,26,2016-06-14
CdS4,2013,M,IT,9,39,36,22,18,2014-02-27
CdS4,2010,M,LS,17,48,48,26,22,2011-03-04
CdS4,2013,M,IT,12,51,48,22,18,2014-02-06
CdS4,2015,M,LS,23,63,60,29,30,2016-01-19
CdS3,2012,F,LS,10,12,12,29,24,2014-09-17
CdS3,2015,M,LS,21,15,12,20,20,2016-06-14
CdS4,2012,M,IT,10,15,12,23,0,0000-00-00
CdS4,2010,M,IT,15,42,39,25,21,2014-02-06
