@relation dataset_shuffled-weka.filters.unsupervised.attribute.Remove-R1

@attribute degree {CdS4,CdS3}
@attribute cohort numeric
@attribute gender {M,F}
@attribute school {LS,TC,LC,AL,IT,IP,IA,LL}
@attribute test numeric
@attribute total_cfu numeric
@attribute total_cfu_g numeric
@attribute avg_g numeric
@attribute math_course_g numeric
@attribute math_course_d {2017-02-23,0000-00-00,2016-09-20,2012-02-10,2014-09-17,2017-02-02,2016-02-24,2013-02-07,2015-06-18,2011-07-06,2013-07-02,2017-07-13,2017-06-27,2015-01-15,2016-07-11,2015-02-05,2017-01-18,2018-02-22,2014-02-27,2012-09-14,2014-01-16,2017-06-13,2013-02-28,2011-09-23,2013-01-15,2016-07-13,2014-02-06,2017-01-19,2014-07-10,2016-06-14,2016-06-20,2015-02-26,2011-03-04,2016-01-19,2016-07-28,2016-06-29,2015-09-17,2015-07-15,2011-02-25,2015-01-14,2017-02-15,2013-06-18,2015-06-09,2016-09-06,2016-07-19,2016-02-08,2015-02-10,2012-01-18,2014-06-17,2012-06-11,2011-06-23,2017-09-13,2015-07-23,2011-07-11}

@data
CdS4,2013,M,IT,12,39,36,24,22,2014-02-06
CdS3,2012,M,IT,12,33,30,26,22,2016-07-13
CdS3,2011,F,LS,10,27,24,20,18,2012-06-11
CdS3,2013,F,AL,9,3,0,0,0,0000-00-00
CdS4,2010,M,LS,13,39,39,26,18,2014-02-06
CdS4,2014,F,LS,9,24,24,27,18,2016-02-08
CdS4,2013,M,IT,17,12,12,25,0,0000-00-00
CdS4,2012,M,LS,10,27,24,21,20,2013-02-07
CdS4,2012,M,LC,13,39,36,23,22,2013-02-07
CdS4,2011,M,LS,19,60,60,28,21,2012-02-10
CdS4,2011,M,LS,5,3,0,0,18,2015-06-18
CdS3,2014,F,TC,5,6,6,25,0,0000-00-00
CdS3,2015,F,LS,5,9,6,25,0,0000-00-00
CdS3,2010,M,LC,9,6,6,30,0,0000-00-00
CdS4,2015,F,LS,10,12,12,24,0,0000-00-00
CdS4,2013,M,LS,17,24,24,21,18,2014-02-06
CdS3,2013,M,LS,16,30,27,24,22,2014-09-17
CdS3,2014,M,TC,11,24,24,26,0,0000-00-00
CdS3,2014,M,LS,16,21,21,29,0,0000-00-00
CdS3,2010,M,LS,14,33,33,28,22,2011-06-23
CdS4,2014,M,LS,14,39,36,23,18,2015-01-15
CdS4,2013,M,LS,8,27,24,25,0,0000-00-00
CdS3,2016,M,LS,8.5,36,36,27,24,2017-06-27
CdS3,2012,M,IT,12,15,15,20,0,0000-00-00
CdS3,2010,M,AL,12,6,6,27,0,0000-00-00
CdS3,2014,F,LS,18,33,33,25,27,2015-06-09
CdS3,2014,F,TC,10,24,21,28,21,2016-06-29
CdS3,2010,M,LS,21,20,18,30,24,2013-07-02
CdS4,2015,M,IT,17,51,48,25,0,0000-00-00
CdS4,2012,M,IT,17,39,36,27,19,2015-02-26
CdS3,2014,M,LC,18,42,39,27,24,2015-06-09
CdS4,2016,M,LS,12.75,24,24,25,0,0000-00-00
CdS4,2012,M,IT,9,27,24,22,19,2013-02-07
CdS3,2015,M,TC,7,6,6,26,0,0000-00-00
CdS3,2015,F,AL,9,18,15,26,0,0000-00-00
CdS3,2011,F,LS,14,6,6,31,0,0000-00-00
CdS3,2015,F,LS,16,51,48,28,30,2016-06-14
CdS3,2013,M,AL,21,24,24,28,28,2014-02-06
CdS3,2012,F,IT,9,21,21,24,0,0000-00-00
CdS4,2013,M,IT,13,48,48,23,23,2014-02-27
CdS3,2014,F,TC,10,24,24,25,0,0000-00-00
CdS4,2010,M,TC,21,60,57,28,21,2011-02-25
CdS4,2015,M,LS,21,51,48,24,20,2016-07-11
CdS4,2011,M,TC,13,27,24,26,18,2016-01-19
CdS4,2013,M,LS,10,27,24,24,23,2014-02-27
CdS3,2011,F,TC,12,9,6,25,18,2014-07-10
CdS3,2012,M,LS,11,6,6,22,0,0000-00-00
CdS3,2016,M,LS,9.25,9,6,25,0,0000-00-00
CdS4,2013,F,LS,12,12,12,26,0,0000-00-00
CdS4,2011,F,TC,14,27,24,24,19,2012-02-10
CdS3,2016,F,LS,4.75,24,21,23,20,2017-09-13
CdS4,2014,M,TC,13,51,48,23,20,2015-02-05
CdS4,2014,F,AL,7,24,24,18,0,0000-00-00
CdS3,2010,F,IA,14,20,18,26,19,2012-01-18
CdS4,2010,M,LS,12,33,30,24,23,2014-07-10
CdS4,2012,M,LS,21,51,48,24,18,2013-01-15
CdS4,2015,F,IT,8,24,24,24,0,0000-00-00
CdS3,2016,F,LS,7.5,24,21,24,0,0000-00-00
CdS4,2010,M,LS,12,51,48,25,25,2014-02-06
CdS4,2015,F,IA,11,3,0,0,0,0000-00-00
CdS4,2014,M,TC,11,51,48,24,20,2015-02-05
CdS3,2014,F,LS,14,30,30,26,0,0000-00-00
CdS3,2011,M,LS,12,6,6,25,0,0000-00-00
CdS4,2013,M,AL,8,12,12,24,0,0000-00-00
CdS3,2011,F,LC,9,33,33,23,18,2012-09-14
CdS4,2015,M,LS,17,39,36,22,18,2016-06-20
CdS3,2013,M,LS,19,42,39,23,18,2014-06-17
CdS3,2013,F,LS,15,18,18,30,30,2014-02-27
CdS3,2012,F,AL,8,3,0,0,0,0000-00-00
CdS4,2013,F,LS,11,27,24,23,18,2014-06-17
CdS4,2016,F,LL,1.25,51,48,23,20,2017-02-02
CdS3,2014,F,TC,8,6,6,22,0,0000-00-00
CdS3,2016,F,IT,5.5,57,54,23,18,2017-06-13
CdS3,2014,M,LS,19,24,24,21,20,2015-07-23
CdS3,2014,F,AL,8,6,6,22,0,0000-00-00
CdS3,2014,F,LS,15,9,9,21,0,0000-00-00
CdS4,2012,M,IT,13,51,48,26,18,2013-01-15
CdS4,2014,F,LL,10,12,12,22,0,0000-00-00
CdS3,2011,M,LS,10,12,12,22,0,0000-00-00
CdS3,2016,F,LC,4.25,42,42,24,21,2017-09-13
CdS4,2014,F,AL,6,39,36,23,20,2016-02-08
CdS4,2011,M,IT,7,39,36,28,23,2015-01-15
CdS3,2013,F,LS,12,24,21,29,0,0000-00-00
CdS4,2011,M,LC,11,24,24,24,18,2015-02-26
CdS4,2011,M,TC,8,15,12,26,18,2016-06-20
CdS3,2014,M,IT,14,15,15,24,0,0000-00-00
CdS3,2015,F,AL,8,18,15,24,0,0000-00-00
CdS3,2010,F,AL,10,6,6,27,0,0000-00-00
CdS4,2011,F,LS,21,51,48,25,22,2012-01-18
CdS3,2013,M,LS,16,24,24,22,25,2014-02-06
CdS4,2010,M,LC,8,30,27,26,21,2016-02-24
CdS3,2015,F,LS,15,36,33,26,19,2016-06-14
CdS4,2013,M,LS,17,39,36,22,24,2014-02-06
CdS4,2014,F,AL,8,15,12,28,0,0000-00-00
CdS3,2012,F,AL,10,12,12,28,30,2015-06-18
CdS3,2016,M,LS,7.25,27,24,23,19,2017-06-27
CdS4,2013,M,AL,9,3,0,0,0,0000-00-00
CdS3,2013,M,LC,15,33,33,25,28,2014-09-17
CdS4,2012,M,IT,7,12,12,24,0,0000-00-00
CdS3,2011,M,LS,23,33,33,28,27,2012-06-11
CdS4,2014,M,IT,12,39,36,24,22,2015-02-26
CdS3,2013,M,AL,7,6,6,25,0,0000-00-00
CdS3,2013,M,LS,13,39,36,23,19,2014-02-27
CdS3,2015,M,LS,20,24,24,25,27,2016-06-14
CdS3,2015,F,LS,8,6,6,27,0,0000-00-00
CdS3,2012,M,LS,12,33,33,25,28,2014-09-17
CdS4,2011,M,AL,8,12,12,25,0,0000-00-00
CdS4,2014,M,LS,21,51,48,26,24,2015-01-15
CdS4,2012,M,LS,7,12,12,27,0,0000-00-00
CdS4,2011,M,IP,11,15,12,25,20,2014-02-06
CdS3,2016,F,TC,2.25,45,42,23,18,2017-06-27
CdS3,2011,F,LL,8,6,6,23,0,0000-00-00
CdS3,2014,M,TC,14,12,12,29,0,0000-00-00
CdS3,2015,F,AL,9,33,30,26,0,0000-00-00
CdS3,2013,F,LS,15,15,15,22,0,0000-00-00
CdS4,2010,M,LC,9,60,57,26,20,2011-07-11
CdS4,2014,M,LS,9,24,24,23,23,2015-02-26
CdS4,2010,M,LS,18,48,48,25,21,2011-03-04
CdS4,2010,M,IT,20,33,30,26,23,2014-02-06
CdS3,2011,M,LL,12,24,24,27,0,0000-00-00
CdS4,2013,M,LS,21,48,48,27,26,2014-02-27
CdS3,2010,M,LS,16,6,6,20,0,0000-00-00
CdS3,2015,M,LS,17,36,36,27,26,2016-06-14
CdS4,2010,F,LS,19,33,30,26,23,2014-02-27
CdS3,2013,F,LS,12,12,12,24,0,0000-00-00
CdS4,2011,F,IT,9,15,12,26,0,0000-00-00
CdS3,2014,F,IT,5,6,6,26,0,0000-00-00
CdS3,2016,F,LS,6,27,24,27,23,2017-06-27
CdS3,2010,F,LS,16,18,18,27,0,0000-00-00
CdS3,2014,M,AL,10,21,21,26,0,0000-00-00
CdS3,2015,F,LL,6,6,6,30,0,0000-00-00
CdS4,2011,M,LS,15,27,24,27,23,2015-01-15
CdS3,2016,F,LS,1.25,24,24,26,24,2017-06-27
CdS3,2012,M,LS,12,24,21,25,21,2016-07-13
CdS4,2014,F,LS,16,63,60,27,26,2015-01-15
CdS4,2010,M,LS,15,51,48,26,20,2014-06-17
CdS3,2011,F,LS,13,6,6,18,0,0000-00-00
CdS3,2010,M,LS,15,32,30,25,21,2011-02-25
CdS3,2016,F,LS,8.5,30,27,26,23,2017-06-27
CdS3,2015,M,LS,19,30,27,26,26,2016-06-14
CdS4,2015,M,LS,20,24,24,25,24,2016-01-19
CdS3,2016,M,LS,5.5,18,18,24,23,2017-06-27
CdS3,2012,F,LC,3,12,12,30,0,0000-00-00
CdS3,2016,F,LL,0,18,15,25,0,0000-00-00
CdS3,2011,F,LS,8,6,6,28,0,0000-00-00
CdS3,2010,M,LS,10,14,12,27,0,0000-00-00
CdS3,2013,F,IT,5,3,0,0,19,2016-06-14
CdS3,2012,M,IT,12,3,0,0,0,0000-00-00
CdS3,2014,M,LS,9,21,21,30,0,0000-00-00
CdS4,2015,F,LS,19,27,24,27,20,2018-02-22
CdS3,2012,F,AL,7,6,6,24,0,0000-00-00
CdS4,2011,M,LS,12,27,24,22,21,2015-02-26
CdS3,2014,M,AL,11,3,0,0,0,0000-00-00
CdS3,2012,M,IT,9,9,9,24,0,0000-00-00
CdS3,2014,M,IT,11,6,6,26,0,0000-00-00
CdS3,2014,M,LS,16,12,12,26,0,0000-00-00
CdS3,2016,F,LC,4.5,42,42,27,20,2017-06-13
